Individuo | Variable | Mascara | Original | Mutado | Noise | Lower | Upper
3         | 10       | 0       | -297.4871 | -297.4871 | 0.4414   | -600.0000 | 600.0000
3         | 11       | 1       | -394.0127 | -394.9510 | -0.9382  | -400.0000 | 200.0000
3         | 12       | 1       | -7.1530  | -7.0539  | 0.0991   | -20.0000 | 0.0000  
3         | 13       | 1       | 45.1100  | 47.1982  | 2.0881   | -600.0000 | 600.0000
3         | 14       | 0       | 101.6706 | 101.6706 | -0.3145  | -400.0000 | 200.0000
3         | 15       | 0       | -2.2368  | -2.2368  | 0.1724   | -20.0000 | 0.0000  
3         | 16       | 1       | -79.8333 | -77.3346 | 2.4987   | -600.0000 | 600.0000
3         | 17       | 0       | 198.3094 | 198.3094 | 0.5078   | -400.0000 | 200.0000
3         | 18       | 1       | -8.8188  | -8.2325  | 0.5863   | -20.0000 | 0.0000  
3         | 19       | 0       | -214.6054 | -214.6054 | 1.2771   | -600.0000 | 600.0000
3         | 20       | 1       | -271.0507 | -271.2868 | -0.2361  | -400.0000 | 200.0000
3         | 21       | 1       | -12.9896 | -10.3988 | 2.5908   | -20.0000 | 0.0000  
3         | 22       | 0       | 425.9688 | 425.9688 | -1.0812  | -600.0000 | 600.0000
3         | 23       | 0       | 131.5153 | 131.5153 | 0.8316   | -400.0000 | 200.0000
3         | 24       | 1       | -10.6738 | -8.8784  | 1.7954   | -20.0000 | 0.0000  
3         | 25       | 0       | 187.9387 | 187.9387 | -2.8030  | -600.0000 | 600.0000
3         | 26       | 0       | 12.7671  | 12.7671  | 0.0277   | -400.0000 | 200.0000
3         | 27       | 1       | -3.0161  | -2.3257  | 0.6904   | -20.0000 | 0.0000  
3         | 28       | 0       | 0.0000   | 0.0000   | -2.4129  | -600.0000 | 600.0000
3         | 29       | 0       | 0.0000   | 0.0000   | 1.1044   | -400.0000 | 200.0000
3         | 30       | 0       | 0.0000   | 0.0000   | 2.0453   | -20.0000 | 0.0000  

4         | 1        | 0       | 0.0000   | 0.0000   | 1.5336   | -600.0000 | 600.0000
4         | 2        | 0       | 0.0000   | 0.0000   | 0.3826   | -400.0000 | 200.0000
4         | 3        | 0       | 0.0000   | 0.0000   | -1.5516  | -20.0000 | 0.0000  
4         | 4        | 0       | -250.7774 | -250.7774 | -1.4051  | -600.0000 | 600.0000
4         | 5        | 1       | 147.2353 | 147.3595 | 0.1242   | -400.0000 | 200.0000
4         | 6        | 0       | -4.9208  | -4.9208  | 0.4896   | -20.0000 | 0.0000  
4         | 7        | 0       | 365.3544 | 229.9025 | -135.4519 | -600.0000 | 600.0000
4         | 8        | 1       | -390.0016 | -385.9217 | 4.0799   | -400.0000 | 200.0000
4         | 9        | 0       | -2.7215  | -2.7215  | -0.9423  | -20.0000 | 0.0000  
4         | 10       | 0       | 272.0052 | -132.4574 | -404.4626 | -600.0000 | 600.0000
4         | 11       | 0       | -217.1493 | -217.1493 | -3.2089  | -400.0000 | 200.0000
4         | 12       | 0       | -3.4121  | -3.4121  | 1.3968   | -20.0000 | 0.0000  
4         | 13       | 0       | -260.6117 | -260.6117 | -0.2329  | -600.0000 | 600.0000
4         | 14       | 0       | 124.4670 | 124.4670 | 3.9909   | -400.0000 | 200.0000
4         | 15       | 1       | -18.8590 | -18.5542 | 0.3047   | -20.0000 | 0.0000  
4         | 16       | 0       | -77.1701 | -77.1701 | 2.8295   | -600.0000 | 600.0000
4         | 17       | 1       | 198.3094 | 193.5365 | -4.7730  | -400.0000 | 200.0000
4         | 18       | 0       | -7.8508  | -7.8508  | 1.3596   | -20.0000 | 0.0000  
4         | 19       | 0       | 334.9231 | 334.9231 | -0.4011  | -600.0000 | 600.0000
4         | 20       | 0       | -30.8630 | -30.8630 | -1.3228  | -400.0000 | 200.0000
4         | 21       | 0       | -2.5767  | -2.5767  | -0.9997  | -20.0000 | 0.0000  
4         | 22       | 0       | 405.0070 | 405.0070 | -1.1524  | -600.0000 | 600.0000
4         | 23       | 0       | 80.2230  | 80.2230  | -1.6857  | -400.0000 | 200.0000
4         | 24       | 0       | -0.7816  | -0.7816  | 2.2074   | -20.0000 | 0.0000  
4         | 25       | 0       | -44.0551 | -44.0551 | 2.0381   | -600.0000 | 600.0000
4         | 26       | 0       | 36.7541  | 36.7541  | 3.2169   | -400.0000 | 200.0000
4         | 27       | 0       | -6.8654  | -6.8654  | -1.7651  | -20.0000 | 0.0000  
4         | 28       | 0       | 0.0000   | 0.0000   | -0.7106  | -600.0000 | 600.0000
4         | 29       | 0       | 0.0000   | 0.0000   | 0.9257   | -400.0000 | 200.0000
4         | 30       | 0       | 0.0000   | 0.0000   | -1.0400  | -20.0000 | 0.0000  

5         | 1        | 0       | 0.0000   | 0.0000   | 1.9241   | -600.0000 | 600.0000
5         | 2        | 0       | 0.0000   | 0.0000   | -1.4111  | -400.0000 | 200.0000
5         | 3        | 0       | 0.0000   | 0.0000   | -0.6499  | -20.0000 | 0.0000  
5         | 4        | 0       | 207.2436 | 207.2436 | -4.9901  | -600.0000 | 600.0000
5         | 5        | 1       | 80.0500  | 84.1684  | 4.1184   | -400.0000 | 200.0000
5         | 6        | 1       | -14.9906 | -15.3352 | -0.3446  | -20.0000 | 0.0000  
5         | 7        | 1       | 150.4872 | 149.3250 | -1.1622  | -600.0000 | 600.0000
5         | 8        | 1       | -54.5783 | -53.5477 | 1.0306   | -400.0000 | 200.0000
5         | 9        | 0       | -0.8962  | -0.8962  | 3.1022   | -20.0000 | 0.0000  
5         | 10       | 0       | 321.9281 | 321.9281 | 2.3214   | -600.0000 | 600.0000
5         | 11       | 1       | -147.9454 | -151.4196 | -3.4741  | -400.0000 | 200.0000
5         | 12       | 0       | -12.9892 | -12.9892 | -1.0056  | -20.0000 | 0.0000  
5         | 13       | 0       | -19.7452 | -19.7452 | -0.2672  | -600.0000 | 600.0000
5         | 14       | 0       | 80.4673  | 80.4673  | -0.5793  | -400.0000 | 200.0000
5         | 15       | 0       | -7.9250  | -7.9250  | -1.4631  | -20.0000 | 0.0000  
5         | 16       | 0       | 108.6458 | 108.6458 | -0.2075  | -600.0000 | 600.0000
5         | 17       | 0       | -32.0250 | -32.0250 | -1.3971  | -400.0000 | 200.0000
5         | 18       | 0       | -7.2462  | -7.2462  | 1.8372   | -20.0000 | 0.0000  
5         | 19       | 0       | 462.0318 | 462.0318 | -1.9045  | -600.0000 | 600.0000
5         | 20       | 0       | -131.6925 | -131.6925 | -0.1530  | -400.0000 | 200.0000
5         | 21       | 0       | -9.7914  | -9.7914  | -0.0197  | -20.0000 | 0.0000  
5         | 22       | 1       | 153.2089 | 152.3797 | -0.8292  | -600.0000 | 600.0000
5         | 23       | 1       | 155.4738 | 153.9793 | -1.4944  | -400.0000 | 200.0000
5         | 24       | 0       | -19.6177 | -19.6177 | -0.3692  | -20.0000 | 0.0000  
5         | 25       | 0       | -27.7878 | -27.7878 | -1.4952  | -600.0000 | 600.0000
5         | 26       | 0       | 12.6332  | 12.6332  | 0.7729   | -400.0000 | 200.0000
5         | 27       | 1       | -5.5459  | -2.2441  | 3.3018   | -20.0000 | 0.0000  
5         | 28       | 0       | 0.0000   | 0.0000   | 0.0494   | -600.0000 | 600.0000
5         | 29       | 0       | 0.0000   | 0.0000   | -1.4560  | -400.0000 | 200.0000
5         | 30       | 0       | 0.0000   | 0.0000   | 1.0562   | -20.0000 | 0.0000  

6         | 1        | 0       | 0.0000   | 0.0000   | 2.3453   | -600.0000 | 600.0000
6         | 2        | 0       | 0.0000   | 0.0000   | 3.5494   | -400.0000 | 200.0000
6         | 3        | 0       | 0.0000   | 0.0000   | 1.6118   | -20.0000 | 0.0000  
6         | 4        | 0       | 0.4313   | 0.4313   | 3.5800   | -600.0000 | 600.0000
6         | 5        | 0       | 14.5304  | 14.5304  | -1.1899  | -400.0000 | 200.0000
6         | 6        | 1       | -6.0573  | -5.5534  | 0.5039   | -20.0000 | 0.0000  
6         | 7        | 0       | 176.9190 | 176.9190 | -0.8982  | -600.0000 | 600.0000
6         | 8        | 0       | -232.7184 | -232.7184 | 1.0795   | -400.0000 | 200.0000
6         | 9        | 0       | -19.8934 | -19.8934 | 2.2303   | -20.0000 | 0.0000  
6         | 10       | 0       | 163.1284 | 163.1284 | -0.1558  | -600.0000 | 600.0000
6         | 11       | 0       | -40.4187 | -40.4187 | 2.0293   | -400.0000 | 200.0000
6         | 12       | 1       | -18.1214 | -19.8718 | -1.7503  | -20.0000 | 0.0000  
6         | 13       | 0       | 246.1670 | 246.1670 | 2.0633   | -600.0000 | 600.0000
6         | 14       | 0       | -126.8968 | -126.8968 | -3.2579  | -400.0000 | 200.0000
6         | 15       | 0       | -6.6448  | -6.6448  | -1.4165  | -20.0000 | 0.0000  
6         | 16       | 1       | 404.8405 | 405.2588 | 0.4183   | -600.0000 | 600.0000
6         | 17       | 1       | -298.1629 | -301.0050 | -2.8421  | -400.0000 | 200.0000
6         | 18       | 0       | -19.6171 | -19.6171 | 1.5020   | -20.0000 | 0.0000  
6         | 19       | 0       | 334.9231 | 334.9231 | 1.6960   | -600.0000 | 600.0000
