Nombre	lat	lon
BZ0	39,795370071822326	-4,084864066352677
BZ1	39,80071757768152	-4,092342919699291
BZ2	39,794177330572026	-4,085681845494452
BZ3	39,79789011284634	-4,086578423937801
BZ4	39,79635745606527	-4,087902063356715
BZ5	39,79499783704746	-4,0794466494112935
BZ6	39,79810809808232	-4,086906727988318
BZ7	39,80158028353265	-4,080184557219656
BZ8	39,80420028607147	-4,092017250963926
BZ9	39,79761059975151	-4,087028332734691
BZ10	39,79535588685012	-4,101250160413017
BZ11	39,78693318198632	-4,093815284945668
BZ12	39,797817902205615	-4,086189920295899
BZ13	39,79320545139587	-4,074197748530629
BZ14	39,80791438589055	-4,064231325278446
BZ15	39,79841424861923	-4,08697932942297
BZ16	39,81101277716068	-4,078912441384268
0.0	39,796596838023056	-4,105965123431132
0.0	39,797432865469126	-4,0873655471835715
0.0	39,78262461766021	-4,1161293819134315
0.0	39,788056974877385	-4,095750252723226
0.0	39,79765040373179	-4,085836970681701
0.0	39,807490742795764	-4,0642474530936115
0.0	39,81679610046549	-4,0544797354977105
0.0	39,795306136650865	-4,088226657288346
0.0	39,80290476476742	-4,07685491072561
0.0	39,78053399294339	-4,107827830747698
0.0	39,79413527709789	-4,089053257958247
0.0	39,77529470768235	-4,115894333230919
0.0	39,79343911434717	-4,095483846665475
0.0	39,791299113489174	-4,08954118532418
0.0	39,81397419696826	-4,071427308577857
0.0	39,812230284847885	-4,070379515016261
0.0	39,78832796723738	-4,08944827420061
0.0	39,78788180230232	-4,091569637213557
0.0	39,76578997506074	-4,109076235164918
0.0	39,78832798056112	-4,088728555792286
0.0	39,768481603679014	-4,102285722703649
0.0	39,79092048300992	-4,0797986183415444
0.0	39,78864330042123	-4,089448285651879
0.0	39,80659912877726	-4,069192586794455
0.0	39,79880620630022	-4,0834622511554075
0.0	39,788643313745126	-4,088728563957754
0.0	39,78029142338819	-4,10408617241986
0.0	39,77607873326894	-4,1040816461496386
0.0	39,78864332260553	-4,088008842085092
0.0	39,789853399790495	-4,084252700620264
0.0	39,79940861754564	-4,073294208084177
0.0	39,789926547002416	-4,086400626687372
0.0	39,79033712976068	-4,08640289249542
0.0	39,77959348393684	-4,100172090006596
