Nombre	lat	lon
BZ0	39,794878703990705	-4,083967270869779
BZ1	39,7949504686151	-4,084041521465951
BZ2	39,7949721748392	-4,084085178537748
BZ3	39,794957059925444	-4,084203118224774
0.0	39,79499388106397	-4,08412883568153
0.0	39,79498810827605	-4,084235797747384
0.0	39,79482556372799	-4,084400434502568
0.0	39,79493488604368	-4,084349588718912
0.0	39,794856347449425	-4,084435600962056
0.0	39,794628321343914	-4,084333881905068
0.0	39,794774625678215	-4,084459226919136
0.0	39,79469905147214	-4,084415981858385
