Nombre	lat	lon
L0	39,794746305386774	-4,0845463782190485
L1	39,79472038221228	-4,085572836042669
L2	39,79472037576999	-4,085936665333784
L3	39,79472036818703	-4,086300494624773
L4	39,7948827073039	-4,085572840445324
L5	39,794882700861564	-4,085936670591683
L6	39,794882693278545	-4,086300500737915
L7	39,795045032410265	-4,085572844848016
L8	39,795045025967895	-4,085936675849625
L9	39,79495159282984	-4,087562187130025
L10	39,79439766021717	-4,088419138330873
L11	39,79374104048299	-4,089407998919357
L12	39,79234170285565	-4,089886770913144
L13	39,79245560991683	-4,090111513259321
L14	39,79213610787481	-4,090051473307336
L15	39,79246381111296	-4,089673592316768
L16	39,79248415931453	-4,090391884819815
L17	39,79271416729058	-4,089625638261101
L18	39,79419345631603	-4,088020689048105
L19	39,79414337684981	-4,086237419783725
L20	39,792801778014756	-4,085994083261742
L21	39,79250096785755	-4,085569096714241
L22	39,79359436454474	-4,085229373061497
