Nombre	lat	lon
L0	39,795370071822326	-4,084864066352677
L1	39,79789011284634	-4,086578423937801
L2	39,79810809808232	-4,086906727988318
L3	39,79761059975151	-4,087028332734691
L4	39,797817902205615	-4,086189920295899
L5	39,79841424861923	-4,08697932942297
L6	39,797432865469126	-4,0873655471835715
L7	39,79765040373179	-4,085836970681701
L8	39,795306136650865	-4,088226657288346
L9	39,79413527709789	-4,089053257958247
L10	39,791299113489174	-4,08954118532418
L11	39,78832796723738	-4,08944827420061
L12	39,78832798056112	-4,088728555792286
L13	39,78864330042123	-4,089448285651879
L14	39,788643313745126	-4,088728563957754
L15	39,78864332260553	-4,088008842085092
L16	39,789926547002416	-4,086400626687372
