Nombre	lat	lon
L0	39,794746305386774	-4,0845463782190485
L1	39,795045032410265	-4,085572844848016
L2	39,795045025967895	-4,085936675849625
L3	39,79504501838483	-4,086300506851106
L4	39,7948827073039	-4,085572840445324
L5	39,794882700861564	-4,085936670591683
L6	39,794882693278545	-4,086300500737915
L7	39,79472038221228	-4,085572836042669
L8	39,79472037576999	-4,085936665333784
L9	39,79350324665411	-4,089834129948895
L10	39,79234170285565	-4,089886770913144
L11	39,79245560991683	-4,090111513259321
L12	39,79213610787481	-4,090051473307336
L13	39,79246381111296	-4,089673592316768
L14	39,79248415931453	-4,090391884819815
L15	39,79271416729058	-4,089625638261101
L16	39,794647131130006	-4,08865149865126
L17	39,79495159282984	-4,087562187130025
L18	39,791964138789936	-4,08728298544111
L19	39,79043418267974	-4,086669990179323
L20	39,79102929537039	-4,085942654747045
L21	39,79147243049154	-4,0854829564277635
L22	39,79281167545941	-4,086444747715657
