Nombre	lat	lon
L0	39,7953404527879	-4,086478269136498
L1	39,795340434199865	-4,087168836196915
L2	39,795340411502465	-4,087859403078465
L3	39,79498838213603	-4,0864782549710625
L4	39,79498836354824	-4,087168818510643
L5	39,79224952957264	-4,090007492462961
L6	39,79234980184704	-4,090163259210857
L7	39,79211447038239	-4,090208480401389
L8	39,79223109902138	-4,08982269526139
L9	39,79248587595796	-4,090224970680328
L10	39,792010483390165	-4,090338914750531
L11	39,79066263197592	-4,088964099378782
L12	39,790157438700255	-4,086986352220092
