perfil,lat,lon,x,y,t_ini,t_fin,zona_utm,profundidad,temperatura,pH,DO_SAT,DO,Blue,Chl
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-769.718,233.279,657.407,959.416,817.959,381.909,261.874
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-772.691,23.322,657.231,957.373,816.307,3.5573,271.249
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-765.754,233.238,656.814,95.417,813.548,363.895,247.924
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-775.664,233.257,657.387,954.465,813.771,291.948,25.529
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-765.754,233.235,656.893,956.693,815.704,371.111,303.697
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-763.772,233.057,658.036,957.223,816.249,234.733,253.504
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-763.772,233.186,655.824,958.352,817.394,1.2513,282.622
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-759.808,233.167,656.979,951.212,811.135,262.066,286.808
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-753.862,233.238,656.917,952.573,812.186,358.175,236.693
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-760.799,233.121,657.071,950.951,810.983,397.494,328.092
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-758.817,233.087,655.143,955.782,815.155,167.114,324.626
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-755.844,233.077,656.952,94.899,809.377,184.662,257.211
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-764.763,233.228,6.5695,952.006,8.1172,236.235,283.411
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-753.862,23.322,657.178,955.889,815.042,315.933,223.727
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-758.817,23.313,656.877,949.453,809.692,172.627,272.642
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-764.763,233.231,656.883,950.631,810.542,341.964,244.073
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-755.844,233.183,6.5685,952.418,8.1214,376.352,275.065
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-758.817,233.248,656.887,944.718,805.475,411.508,235.646
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-749.898,233.228,656.438,949.914,809.936,358.524,23.435
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-756.835,233.107,656.879,945.771,806.587,459.134,293.402
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-755.844,233.217,656.975,950.159,810.161,379.954,25.677
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-753.862,23.317,656.849,951.868,8.1169,319.797,269.431
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-75.188,233.316,656.441,945.576,806.103,560.246,232.849
1,40.3759781,-3.7046139,77.7197448,-52.15691759999999,167.312,225.851,30.0,-749.898,233.161,656.859,948.416,808.761,162.916,288.017
