t_u,u_raw,t_v,v_raw,t_du,du_raw,t_dv,dv_raw,t_orientacion,orientacion_raw,t_T_L,throttle_L,t_T_R,throttle_R
3.269,15728.0,3.269,-26214.0,3.269,-21.0,3.269,40.0,4.307,-2.320978,3.267,60.0,3.267,30.0
4.228,26214.0,4.228,15728.0,4.228,-14.0,4.228,4.0,4.779,-2.317786,4.428,45.0,4.428,45.0
4.522,26214.0,4.522,20971.0,4.522,18.0,4.522,16.0,5.31,-2.313372,4.95,60.0,4.95,30.0
4.874,41943.0,4.874,-5242.0,4.874,-12.0,4.874,2.0,5.788,-2.308904,5.453,60.0,5.453,30.0
5.093,36700.0,5.093,-10485.0,5.093,-8.0,5.093,34.0,6.341,-2.301995,5.924,60.0,5.924,30.0
5.454,20971.0,5.454,-5242.0,5.454,22.0,5.454,-2.0,6.78,-2.295504,6.452,45.0,6.452,45.0
5.717,20971.0,5.717,-31457.0,5.717,-26.0,5.717,-12.0,7.322,-2.287361,6.972,45.0,6.972,45.0
6.017,41943.0,6.017,-26214.0,6.017,-4.0,6.017,19.0,7.769,-2.280074,7.419,30.0,7.419,30.0
6.342,20971.0,6.342,-15728.0,6.342,-13.0,6.342,1.0,8.286,-2.270034,7.924,45.0,7.924,15.0
6.586,26214.0,6.586,5242.0,6.586,-19.0,6.586,4.0,8.765,-2.257628,8.445,60.0,8.445,30.0
6.974,31457.0,6.974,-5242.0,6.974,40.0,6.974,-40.0,9.304,-2.245534,8.911,45.0,8.911,15.0
7.213,26214.0,7.213,-36700.0,7.213,-52.0,7.213,50.0,9.757,-2.231242,9.413,60.0,9.413,30.0
7.518,31457.0,7.518,-10485.0,7.518,-7.0,7.518,-26.0,10.29,-2.216159,9.949,45.0,9.949,45.0
7.81,0.0,7.81,-20971.0,7.81,26.0,7.81,-6.0,10.798,-2.199054,10.439,45.0,10.439,15.0
8.12,47185.0,8.12,-31457.0,8.12,-18.0,8.12,2.0,11.288,-2.181348,10.945,45.0,10.945,15.0
8.446,41943.0,8.446,20971.0,8.446,1.0,8.446,-13.0,11.754,-2.163472,11.446,60.0,11.446,30.0
8.678,41943.0,8.678,-5242.0,8.678,-32.0,8.678,51.0,12.296,-2.142178,11.901,45.0,11.901,15.0
9.032,20971.0,9.032,15728.0,9.032,19.0,9.032,-38.0,12.744,-2.118158,12.427,45.0,12.427,45.0
9.305,20971.0,9.305,-5242.0,9.305,9.0,9.305,-8.0,13.28,-2.095607,12.902,45.0,12.902,45.0
9.616,15728.0,9.616,10485.0,9.616,-37.0,9.616,35.0,13.771,-2.073215,13.39,45.0,13.39,45.0
9.949,26214.0,9.949,-15728.0,9.949,3.0,9.949,-21.0,14.295,-2.047465,13.939,60.0,13.939,30.0
10.198,31457.0,10.198,-20971.0,10.198,-4.0,10.198,10.0,14.744,-2.021026,14.42,60.0,14.42,30.0
10.471,20971.0,10.471,5242.0,10.471,11.0,10.471,-11.0,15.291,-1.991904,14.89,45.0,14.89,45.0
10.798,20971.0,10.798,-20971.0,10.798,-9.0,10.798,41.0,15.771,-1.961679,15.417,60.0,15.417,30.0
11.128,15728.0,11.128,5242.0,11.128,-15.0,11.128,15.0,16.267,-1.930459,15.93,60.0,15.93,30.0
11.447,31457.0,11.447,-15728.0,11.447,1.0,11.447,-13.0,16.744,-1.89849,16.392,60.0,16.392,30.0
11.691,10485.0,11.691,-20971.0,11.691,1.0,11.691,13.0,17.264,-1.86478,16.911,60.0,16.911,30.0
12.001,26214.0,12.001,-15728.0,12.001,-19.0,12.001,3.0,17.753,-1.832344,17.43,45.0,17.43,45.0
12.296,41943.0,12.296,-10485.0,12.296,11.0,12.296,-11.0,18.275,-1.799815,17.879,60.0,17.879,30.0
12.603,26214.0,12.603,-10485.0,12.603,-9.0,12.603,20.0,18.73,-1.767725,18.393,60.0,18.393,30.0
12.902,15728.0,12.902,-20971.0,12.902,-10.0,12.902,0.0,19.265,-1.736834,18.897,45.0,18.897,15.0
13.211,10485.0,13.211,-15728.0,13.211,6.0,13.211,-17.0,19.721,-1.705257,19.372,60.0,19.372,30.0
13.489,31457.0,13.489,-26214.0,13.489,15.0,13.489,32.0,20.264,-1.674857,19.878,60.0,19.878,30.0
13.772,15728.0,13.772,-5242.0,13.772,-35.0,13.772,-17.0,20.721,-1.643688,20.399,60.0,20.399,30.0
14.06,20971.0,14.06,-20971.0,14.06,5.0,14.06,16.0,21.267,-1.614441,20.901,60.0,20.901,30.0
14.421,26214.0,14.421,-26214.0,14.421,5.0,14.421,34.0,21.767,-1.584411,21.39,45.0,21.39,15.0
14.69,47185.0,14.69,-20971.0,14.69,1.0,14.69,-42.0,22.233,-1.555075,21.921,45.0,21.921,45.0
14.983,31457.0,14.983,-15728.0,14.983,-7.0,14.983,12.0,22.723,-1.528475,22.358,60.0,22.358,30.0
15.292,36700.0,15.292,-5242.0,15.292,-21.0,15.292,-4.0,23.239,-1.501053,22.883,60.0,22.883,30.0
15.593,36700.0,15.593,0.0,15.593,-24.0,15.593,3.0,23.729,-1.474497,23.359,60.0,23.359,30.0
15.931,0.0,15.931,-15728.0,15.931,8.0,15.931,6.0,24.237,-1.447602,23.857,45.0,23.857,15.0
16.175,47185.0,16.175,-15728.0,16.175,-8.0,16.175,1.0,24.723,-1.422455,24.378,60.0,24.378,30.0
16.478,26214.0,16.478,-15728.0,16.478,1.0,16.478,4.0,25.227,-1.396622,24.881,60.0,24.881,30.0
16.785,26214.0,16.785,-5242.0,16.785,29.0,16.785,-11.0,25.703,-1.371046,25.363,60.0,25.363,30.0
17.092,10485.0,17.092,-26214.0,17.092,-10.0,17.092,5.0,26.231,-1.345906,25.873,60.0,25.873,30.0
17.432,10485.0,17.432,-10485.0,17.432,1.0,17.432,16.0,26.722,-1.320851,26.403,60.0,26.403,30.0
17.65,15728.0,17.65,-20971.0,17.65,8.0,17.65,-17.0,27.239,-1.295446,26.849,60.0,26.849,30.0
17.977,41943.0,17.977,-5242.0,17.977,-2.0,17.977,12.0,27.689,-1.271872,27.368,60.0,27.368,30.0
18.277,15728.0,18.277,-15728.0,18.277,2.0,18.277,2.0,28.245,-1.250611,27.896,45.0,27.896,15.0
18.587,20971.0,18.587,5242.0,18.587,-13.0,18.587,4.0,28.696,-1.228965,28.335,45.0,28.335,15.0
18.898,0.0,18.898,-41943.0,18.898,30.0,18.898,-1.0,29.24,-1.20538,28.853,60.0,28.853,30.0
19.142,52428.0,19.142,0.0,19.142,-9.0,19.142,10.0,29.708,-1.183686,29.375,45.0,29.375,45.0
19.487,20971.0,19.487,-15728.0,19.487,27.0,19.487,-18.0,30.228,-1.16292,29.838,60.0,29.838,30.0
19.764,5242.0,19.764,-10485.0,19.764,-11.0,19.764,2.0,30.68,-1.141889,30.364,45.0,30.364,15.0
20.075,26214.0,20.075,-31457.0,20.075,55.0,20.075,-2.0,31.201,-1.122961,30.853,60.0,30.853,30.0
20.4,20971.0,20.4,-10485.0,20.4,-3.0,20.4,10.0,31.696,-1.103074,31.364,60.0,31.364,30.0
20.663,31457.0,20.663,-31457.0,20.663,28.0,20.663,7.0,32.199,-1.086201,31.859,60.0,31.859,30.0
20.958,10485.0,20.958,-41943.0,20.958,0.0,20.958,-8.0,32.677,-1.070606,32.372,45.0,32.372,45.0
21.269,31457.0,21.269,-36700.0,21.269,36.0,21.269,6.0,33.23,-1.054797,32.825,60.0,32.825,30.0
21.604,26214.0,21.604,-5242.0,21.604,20.0,21.604,10.0,33.692,-1.039536,33.353,45.0,33.353,15.0
21.921,5242.0,21.921,0.0,21.921,-16.0,21.921,-18.0,34.205,-1.025812,33.856,60.0,33.856,30.0
22.163,26214.0,22.163,-41943.0,22.163,20.0,22.163,16.0,34.713,-1.012435,34.313,45.0,34.313,45.0
22.456,31457.0,22.456,-5242.0,22.456,18.0,22.456,4.0,35.221,-1.000767,34.859,45.0,34.859,45.0
22.764,26214.0,22.764,-5242.0,22.764,9.0,22.764,14.0,35.667,-0.988962,35.344,30.0,35.344,30.0
23.062,20971.0,23.062,-36700.0,23.062,32.0,23.062,-6.0,36.175,-0.981601,35.829,15.0,35.829,15.0
23.36,15728.0,23.36,-20971.0,23.36,-35.0,23.36,26.0,36.665,-0.972761,36.354,30.0,36.354,30.0
23.688,15728.0,23.688,-5242.0,23.688,46.0,23.688,-16.0,37.186,-0.961061,36.833,-4755.0,36.833,-4755.0
23.94,31457.0,23.94,5242.0,23.94,-6.0,23.94,8.0,37.666,-0.957051,37.318,-7170.0,37.318,-7170.0
24.558,26214.0,24.558,10485.0,24.558,7.0,24.558,22.0,38.189,-0.997559,37.831,-9600.0,37.831,-9600.0
24.881,52428.0,24.881,-52428.0,24.881,21.0,24.881,9.0,38.68,-1.118065,38.343,-9600.0,38.343,-9600.0
25.152,31457.0,25.152,-26214.0,25.152,-9.0,25.152,-13.0,39.197,-1.284751,38.804,-9600.0,38.804,-9600.0
25.45,15728.0,25.45,-15728.0,25.45,23.0,25.45,26.0,39.661,-1.429283,39.311,-9600.0,39.311,-9600.0
25.797,0.0,25.797,-15728.0,25.797,3.0,25.797,-22.0,40.181,-1.564859,39.832,-9600.0,39.832,-9600.0
26.016,26214.0,26.016,0.0,26.016,46.0,26.016,3.0,40.697,-1.730456,40.291,-9600.0,40.291,-9600.0
26.403,31457.0,26.403,-26214.0,26.403,-11.0,26.403,16.0,41.182,-1.983938,40.791,-9600.0,40.791,-9188.0
26.641,36700.0,26.641,-31457.0,26.641,23.0,26.641,-13.0,41.664,-2.35474,41.321,-9600.0,41.321,-1103.0
26.943,36700.0,26.943,-10485.0,26.943,14.0,26.943,13.0,42.209,-2.479294,41.825,0.0,41.825,-9600.0
27.24,31457.0,27.24,-31457.0,27.24,3.0,27.24,-4.0,42.667,-2.419034,42.309,0.0,42.309,-9600.0
27.538,26214.0,27.538,-15728.0,27.538,-4.0,27.538,-12.0,43.156,-2.242456,42.799,0.0,42.799,-9600.0
27.898,10485.0,27.898,-5242.0,27.898,28.0,27.898,31.0,43.64,-1.988652,43.28,-9046.0,43.28,-9600.0
28.126,31457.0,28.126,-5242.0,28.126,-5.0,28.126,-13.0,44.154,-1.87306,43.81,-9480.0,43.81,-9600.0
28.435,41943.0,28.435,-20971.0,28.435,6.0,28.435,14.0,44.653,-1.860411,44.304,-7020.0,44.304,-7140.0
28.736,36700.0,28.736,-15728.0,28.736,12.0,28.736,21.0,45.153,-1.943318,44.812,-7050.0,44.812,-7110.0
29.042,31457.0,29.042,-10485.0,29.042,18.0,29.042,-14.0,45.658,-2.024462,45.336,-7065.0,45.336,-7125.0
29.375,41943.0,29.375,-31457.0,29.375,-12.0,29.375,24.0,46.173,-2.059876,45.809,-6735.0,45.809,-7425.0
29.638,41943.0,29.638,-26214.0,29.638,16.0,29.638,-5.0,46.623,-1.990794,46.274,-3966.0,46.274,-9600.0
29.954,36700.0,29.954,-20971.0,29.954,-4.0,29.954,17.0,47.161,-1.948985,46.807,-6690.0,46.807,-7470.0
30.228,41943.0,30.228,-15728.0,30.228,-7.0,30.228,-28.0,47.631,-1.979376,47.295,-7050.0,47.295,-7110.0
30.541,5242.0,30.541,-20971.0,30.541,32.0,30.541,6.0,48.173,-2.023028,47.779,-7065.0,47.779,-7125.0
30.853,26214.0,30.853,-5242.0,30.853,-36.0,30.853,5.0,48.619,-1.935732,48.286,-1556.0,48.286,-9600.0
31.124,52428.0,31.124,-15728.0,31.124,7.0,31.124,-19.0,49.174,-1.748143,48.813,-1492.0,48.813,-9600.0
31.395,41943.0,31.395,-20971.0,31.395,25.0,31.395,13.0,49.612,-1.600625,49.261,-6975.0,49.261,-7215.0
31.729,20971.0,31.729,0.0,31.729,4.0,31.729,27.0,50.122,-1.52879,49.767,-7065.0,49.767,-7095.0
32.05,36700.0,32.05,0.0,32.05,15.0,32.05,-20.0,50.606,-1.519185,50.281,-7140.0,50.281,-7020.0
32.372,10485.0,32.372,-26214.0,32.372,8.0,32.372,11.0,51.162,-1.546718,50.755,-7080.0,50.755,-7080.0
32.616,36700.0,32.616,0.0,32.616,-13.0,32.616,2.0,51.618,-1.577451,51.258,-7080.0,51.258,-7110.0
32.922,26214.0,32.922,-5242.0,32.922,23.0,32.922,8.0,52.132,-1.624441,51.796,-7080.0,51.796,-7080.0
33.23,20971.0,33.23,10485.0,33.23,9.0,33.23,15.0,52.655,-1.692435,52.285,-7065.0,52.285,-7095.0
33.523,31457.0,33.523,5242.0,33.523,6.0,33.523,15.0,53.137,-1.793059,52.78,-7080.0,52.78,-7110.0
33.857,10485.0,33.857,-5242.0,33.857,-9.0,33.857,-14.0,53.605,-1.848243,53.303,-6285.0,53.303,-7875.0
34.126,10485.0,34.126,-5242.0,34.126,30.0,34.126,8.0,54.143,-1.752686,53.781,-1574.0,53.781,-9600.0
34.412,36700.0,34.412,-36700.0,34.412,-6.0,34.412,-16.0,54.597,-1.69707,54.272,-7020.0,54.272,-7140.0
34.714,26214.0,34.714,-5242.0,34.714,-10.0,34.714,39.0,55.129,-1.686862,54.74,-7050.0,54.74,-7110.0
35.021,26214.0,35.021,-15728.0,35.021,-4.0,35.021,4.0,55.643,-1.566846,55.266,-1895.0,55.266,-9600.0
35.345,15728.0,35.345,5242.0,35.345,39.0,35.345,14.0,56.142,-1.416989,55.787,-4665.0,55.787,-9495.0
35.609,26214.0,35.609,-15728.0,35.609,-25.0,35.609,-1.0,56.609,-1.332933,56.265,-6315.0,56.265,-7875.0
35.899,26214.0,35.899,-10485.0,35.899,12.0,35.899,8.0,57.095,-1.397,56.738,-9600.0,56.738,-3905.0
36.227,20971.0,36.227,-5242.0,36.227,17.0,36.227,-22.0,57.602,-1.578345,57.266,-8775.0,57.266,-5385.0
36.515,26214.0,36.515,-26214.0,36.515,14.0,36.515,37.0,58.108,-1.727681,57.757,-7050.0,57.757,-7110.0
36.835,41943.0,36.835,10485.0,36.835,-268.0,36.835,624.0,58.59,-1.864249,58.23,-7050.0,58.23,-7110.0
37.103,36700.0,37.103,10485.0,37.103,-306.0,37.103,-241.0,59.117,-1.935428,58.753,-5400.0,58.753,-8760.0
37.377,-15728.0,37.377,31457.0,37.377,-106.0,37.377,334.0,59.596,-1.875484,59.279,-2215.0,59.279,-9600.0
37.706,-36700.0,37.706,31457.0,37.706,-200.0,37.706,258.0,60.127,-1.752107,59.728,-2646.0,59.728,-9600.0
37.971,-110100.0,37.971,73400.0,37.971,250.0,37.971,193.0,60.582,-1.708881,60.234,-7050.0,60.234,-7110.0
38.344,-104857.0,38.344,157286.0,38.344,-232.0,38.344,60.0,61.102,-1.727455,60.756,-7065.0,60.756,-7125.0
38.599,-94371.0,38.599,204472.0,38.599,110.0,38.599,22.0,61.582,-1.691273,61.215,-3128.0,61.215,-9600.0
38.91,-162529.0,38.91,204472.0,38.91,-254.0,38.91,-124.0,62.096,-1.621042,61.724,-5085.0,61.724,-9105.0
39.199,-73400.0,39.199,204472.0,39.199,192.0,39.199,160.0,62.567,-1.614666,62.244,-7050.0,62.244,-7110.0
39.505,-89128.0,39.505,183500.0,39.505,-579.0,39.505,418.0,63.107,-1.62894,62.748,-5310.0,62.748,-5370.0
39.834,-73400.0,39.834,167772.0,39.834,-231.0,39.834,52.0,63.559,-1.656481,63.233,-705.0,63.233,-765.0
40.099,-41943.0,40.099,193986.0,40.099,251.0,40.099,89.0,64.069,-1.674817,63.765,90.0,63.765,30.0
40.415,-68157.0,40.415,262143.0,40.415,233.0,40.415,123.0,64.57,-1.652785,64.209,90.0,64.209,30.0
40.699,-26214.0,40.699,304086.0,40.699,103.0,40.699,-29.0,65.083,-1.616752,64.739,75.0,64.739,45.0
40.998,-26214.0,40.998,325058.0,40.998,26.0,40.998,-352.0,65.586,-1.60464,65.243,90.0,65.243,30.0
41.322,-10485.0,41.322,256900.0,41.322,96.0,41.322,-170.0,66.093,-1.60767,65.704,90.0,65.704,30.0
41.59,15728.0,41.59,272629.0,41.59,-434.0,41.59,-457.0,66.567,-1.596204,66.245,90.0,66.245,30.0
41.894,36700.0,41.894,256900.0,41.894,-308.0,41.894,-16.0,67.074,-1.566496,66.747,90.0,66.747,30.0
42.211,136314.0,42.211,230686.0,42.211,-272.0,42.211,59.0,67.552,-1.542994,67.197,90.0,67.197,30.0
42.509,141557.0,42.509,99614.0,42.509,-485.0,42.509,147.0,68.076,-1.5381,67.722,75.0,67.722,45.0
42.801,115343.0,42.801,99614.0,42.801,-489.0,42.801,-165.0,68.546,-1.530359,68.233,90.0,68.233,30.0
43.074,99614.0,43.074,94371.0,43.074,-348.0,43.074,-334.0,69.089,-1.505481,68.698,75.0,68.698,45.0
43.397,78643.0,43.397,5242.0,43.397,-500.0,43.397,-379.0,69.572,-1.478766,69.211,90.0,69.211,30.0
43.679,62914.0,43.679,31457.0,43.679,-481.0,43.679,-174.0,70.084,-1.466101,69.733,90.0,69.733,30.0
43.988,94371.0,43.988,141557.0,43.988,-270.0,43.988,322.0,70.549,-1.460332,70.207,90.0,70.207,30.0
44.305,36700.0,44.305,141557.0,44.305,-374.0,44.305,158.0,71.05,-1.445066,70.702,75.0,70.702,45.0
44.612,36700.0,44.612,220200.0,44.612,-601.0,44.612,-205.0,71.535,-1.426473,71.208,75.0,71.208,45.0
44.88,94371.0,44.88,256900.0,44.88,-346.0,44.88,-154.0,72.083,-1.420757,71.684,75.0,71.684,45.0
45.171,68157.0,45.171,193986.0,45.171,-887.0,45.171,-31.0,72.531,-1.424572,72.201,75.0,72.201,45.0
45.482,62914.0,45.482,178257.0,45.482,-547.0,45.482,-137.0,73.047,-1.424496,72.718,90.0,72.718,30.0
45.811,47185.0,45.811,193986.0,45.811,-577.0,45.811,-22.0,73.565,-1.41827,73.203,90.0,73.203,30.0
46.069,62914.0,46.069,246415.0,46.069,-379.0,46.069,95.0,74.044,-1.420419,73.697,90.0,73.697,30.0
46.368,78643.0,46.368,178257.0,46.368,-299.0,46.368,151.0,74.53,-1.430797,74.18,75.0,74.18,45.0
46.731,83886.0,46.731,193986.0,46.731,-153.0,46.731,126.0,75.063,-1.439048,74.693,75.0,74.693,45.0
46.971,120586.0,46.971,178257.0,46.971,165.0,46.971,-238.0,75.519,-1.440151,75.169,75.0,75.169,45.0
47.296,52428.0,47.296,183500.0,47.296,-163.0,47.296,-114.0,76.055,-1.444032,75.663,90.0,75.663,30.0
47.569,20971.0,47.569,214957.0,47.569,224.0,47.569,75.0,76.515,-1.455103,76.164,75.0,76.164,45.0
47.86,47185.0,47.86,178257.0,47.86,122.0,47.86,55.0,77.057,-1.466102,76.705,90.0,76.705,30.0
48.174,68157.0,48.174,230686.0,48.174,-77.0,48.174,107.0,77.532,-1.471034,77.194,75.0,77.194,45.0
48.434,62914.0,48.434,225443.0,48.434,-93.0,48.434,172.0,78.06,-1.473491,77.66,90.0,77.66,30.0
48.815,68157.0,48.815,204472.0,48.815,9.0,48.815,-38.0,78.539,-1.483956,78.178,75.0,78.178,45.0
49.03,99614.0,49.03,157286.0,49.03,-220.0,49.03,78.0,79.025,-1.497505,78.678,75.0,78.678,45.0
49.357,78643.0,49.357,131071.0,49.357,102.0,49.357,72.0,79.513,-1.505522,79.154,90.0,79.154,30.0
49.656,0.0,49.656,141557.0,49.656,153.0,49.656,134.0,80.033,-1.511887,79.684,90.0,79.684,30.0
49.962,-15728.0,49.962,178257.0,49.962,-5.0,49.962,289.0,80.516,-1.523116,80.202,75.0,80.202,45.0
50.281,-31457.0,50.281,199229.0,50.281,-358.0,50.281,328.0,81.038,-1.538852,80.644,90.0,80.644,30.0
50.56,-31457.0,50.56,235929.0,50.56,92.0,50.56,59.0,81.493,-1.553609,81.204,75.0,81.204,45.0
50.875,-20971.0,50.875,262143.0,50.875,-98.0,50.875,-25.0,82.019,-1.564045,81.668,90.0,81.668,30.0
51.163,-31457.0,51.163,214957.0,51.163,470.0,51.163,258.0,82.499,-1.576654,82.173,75.0,82.173,45.0
51.428,-41943.0,51.428,193986.0,51.428,-80.0,51.428,-29.0,83.032,-1.596464,82.636,90.0,82.636,30.0
51.797,-47185.0,51.797,214957.0,51.797,221.0,51.797,150.0,83.509,-1.616214,83.171,90.0,83.171,30.0
52.051,-47185.0,52.051,214957.0,52.051,423.0,52.051,242.0,84.031,-1.632204,83.671,90.0,83.671,30.0
52.344,-20971.0,52.344,230686.0,52.344,-149.0,52.344,250.0,84.481,-1.65002,84.16,90.0,84.16,30.0
52.656,-41943.0,52.656,262143.0,52.656,87.0,52.656,139.0,85.028,-1.674388,84.645,90.0,84.645,30.0
52.976,-36700.0,52.976,262143.0,52.976,-204.0,52.976,223.0,85.523,-1.700672,85.131,75.0,85.131,45.0
53.304,-52428.0,53.304,214957.0,53.304,369.0,53.304,-158.0,86.002,-1.724289,85.66,90.0,85.66,30.0
53.569,-26214.0,53.569,209715.0,53.569,157.0,53.569,98.0,86.499,-1.747046,86.15,90.0,86.15,30.0
53.837,52428.0,53.837,199229.0,53.837,-116.0,53.837,73.0,87.026,-1.774421,86.628,90.0,86.628,30.0
54.144,62914.0,54.144,209715.0,54.144,158.0,54.144,-2.0,87.495,-1.804301,87.175,90.0,87.175,30.0
54.453,26214.0,54.453,188743.0,54.453,188.0,54.453,-198.0,88.002,-1.833418,87.664,75.0,87.664,45.0
54.741,10485.0,54.741,167772.0,54.741,317.0,54.741,-39.0,88.485,-1.860276,88.117,75.0,88.117,45.0
55.052,10485.0,55.052,209715.0,55.052,-221.0,55.052,5.0,88.997,-1.889365,88.642,90.0,88.642,30.0
55.336,20971.0,55.336,204472.0,55.336,-149.0,55.336,48.0,89.471,-1.92355,89.148,75.0,89.148,45.0
55.645,0.0,55.645,230686.0,55.645,221.0,55.645,-182.0,90.018,-1.957975,89.613,75.0,89.613,45.0
55.947,10485.0,55.947,199229.0,55.947,-46.0,55.947,-39.0,90.467,-1.989704,90.133,90.0,90.133,30.0
56.266,20971.0,56.266,162529.0,56.266,-258.0,56.266,-108.0,91.009,-2.023269,90.651,90.0,90.651,30.0
56.538,-20971.0,56.538,173014.0,56.538,329.0,56.538,176.0,91.516,-2.058946,91.11,75.0,91.11,45.0
56.834,-41943.0,56.834,162529.0,56.834,191.0,56.834,109.0,91.97,-2.095692,91.623,90.0,91.623,30.0
57.186,-41943.0,57.186,188743.0,57.186,119.0,57.186,111.0,92.476,-2.131657,92.148,90.0,92.148,30.0
57.447,-125829.0,57.447,246415.0,57.447,166.0,57.447,36.0,93.007,-2.167177,92.604,75.0,92.604,45.0
57.763,-78643.0,57.763,220200.0,57.763,429.0,57.763,86.0,93.477,-2.203593,93.125,90.0,93.125,30.0
58.029,-83886.0,58.029,193986.0,58.029,134.0,58.029,21.0,93.976,-2.241191,93.622,75.0,93.622,45.0
58.327,-31457.0,58.327,225443.0,58.327,372.0,58.327,192.0,94.471,-2.276773,94.145,75.0,94.145,45.0
58.631,-47185.0,58.631,214957.0,58.631,-35.0,58.631,232.0,94.981,-2.312045,94.617,90.0,94.617,30.0
58.897,-5242.0,58.897,209715.0,58.897,257.0,58.897,226.0,95.456,-2.347305,95.108,75.0,95.108,45.0
59.28,-10485.0,59.28,209715.0,59.28,-78.0,59.28,72.0,96.016,-2.383097,95.619,90.0,95.619,30.0
59.519,47185.0,59.519,183500.0,59.519,68.0,59.519,-15.0,96.459,-2.417655,96.111,90.0,96.111,30.0
59.828,47185.0,59.828,188743.0,59.828,-145.0,59.828,49.0,96.966,-2.45255,96.582,75.0,96.582,45.0
60.128,73400.0,60.128,157286.0,60.128,-27.0,60.128,111.0,97.44,-2.486838,97.085,90.0,97.085,30.0
60.448,10485.0,60.448,146800.0,60.448,-338.0,60.448,192.0,97.987,-2.523005,97.627,75.0,97.627,15.0
60.758,-15728.0,60.758,157286.0,60.758,257.0,60.758,292.0,98.458,-2.557198,98.107,75.0,98.107,45.0
61.022,-26214.0,61.022,209715.0,61.022,-266.0,61.022,220.0,98.95,-2.589995,98.584,90.0,98.584,30.0
61.336,10485.0,61.336,298843.0,61.336,-124.0,61.336,248.0,99.45,-2.62294,99.104,90.0,99.104,30.0
61.608,0.0,61.608,209715.0,61.608,-94.0,61.608,79.0,99.955,-2.655891,99.6,75.0,99.6,45.0
61.884,26214.0,61.884,204472.0,61.884,-142.0,61.884,44.0,100.427,-2.688222,100.077,75.0,100.077,45.0
62.245,-20971.0,62.245,209715.0,62.245,144.0,62.245,162.0,100.961,-2.721221,100.616,90.0,100.616,30.0
62.509,-31457.0,62.509,152043.0,62.509,-53.0,62.509,134.0,101.46,-2.753881,101.122,90.0,101.122,30.0
62.806,-31457.0,62.806,214957.0,62.806,29.0,62.806,199.0,101.967,-2.783896,101.571,90.0,101.571,30.0
63.108,-31457.0,63.108,173014.0,63.108,20.0,63.108,156.0,102.47,-2.814027,102.073,75.0,102.073,45.0
63.442,0.0,63.442,225443.0,63.442,2.0,63.442,4.0,102.955,-2.844055,102.59,75.0,102.59,45.0
63.766,-5242.0,63.766,162529.0,63.766,-101.0,63.766,-43.0,103.42,-2.873549,103.065,90.0,103.065,30.0
64.003,-15728.0,64.003,136314.0,64.003,-15.0,64.003,-21.0,103.949,-2.905527,103.569,8834.0,103.569,3760.0
64.309,-31457.0,64.309,89128.0,64.309,17.0,64.309,116.0,104.436,-2.968584,104.089,8151.0,104.089,4448.0
64.596,15728.0,64.596,73400.0,64.596,30.0,64.596,146.0,104.974,-2.87041,104.595,4098.0,104.595,8220.0
65.244,-36700.0,65.244,115343.0,65.244,-29.0,65.244,159.0,105.409,-2.730528,105.081,5286.0,105.081,6744.0
65.533,-41943.0,65.533,115343.0,65.533,5.0,65.533,58.0,105.922,-2.555261,105.567,4756.0,105.567,7010.0
65.8,-36700.0,65.8,78643.0,65.8,23.0,65.8,31.0,106.407,-2.39571,106.055,5968.0,106.055,5984.0
66.093,5242.0,66.093,68157.0,66.093,2.0,66.093,33.0,106.95,-2.270195,106.576,5868.0,106.576,6187.0
66.407,-5242.0,66.407,31457.0,66.407,-25.0,66.407,77.0,107.399,-2.156008,107.047,5911.0,107.047,6299.0
66.748,-31457.0,66.748,26214.0,66.748,43.0,66.748,106.0,107.945,-2.070868,107.55,6845.0,107.55,5103.0
66.997,-5242.0,66.997,36700.0,66.997,4.0,66.997,143.0,108.423,-1.989919,108.091,6904.0,108.091,4909.0
67.293,10485.0,67.293,62914.0,67.293,17.0,67.293,150.0,108.928,-1.939409,108.567,7023.0,108.567,4875.0
67.642,-10485.0,67.642,47185.0,67.642,-28.0,67.642,75.0,109.406,-1.922955,109.043,7188.0,109.043,4701.0
67.864,-10485.0,67.864,41943.0,67.864,-35.0,67.864,26.0,109.941,-1.939652,109.567,7010.0,109.567,5026.0
68.233,-26214.0,68.233,68157.0,68.233,32.0,68.233,28.0,110.397,-1.960498,110.062,6733.0,110.062,5228.0
68.482,-10485.0,68.482,31457.0,68.482,28.0,68.482,22.0,110.951,-1.974552,110.54,6987.0,110.54,4874.0
68.789,-15728.0,68.789,15728.0,68.789,3.0,68.789,78.0,111.399,-1.976978,111.058,6914.0,111.058,4905.0
69.09,5242.0,69.09,15728.0,69.09,-8.0,69.09,98.0,111.942,-2.003882,111.578,7086.0,111.578,4761.0
69.401,-10485.0,69.401,68157.0,69.401,16.0,69.401,56.0,112.388,-2.059288,112.029,7461.0,112.029,4537.0
69.736,10485.0,69.736,57671.0,69.736,-27.0,69.736,80.0,112.892,-2.095833,112.544,6704.0,112.544,5344.0
69.985,-15728.0,69.985,57671.0,69.985,60.0,69.985,9.0,113.395,-2.110389,113.056,6769.0,113.056,5070.0
70.282,-10485.0,70.282,47185.0,70.282,-20.0,70.282,-19.0,113.927,-2.130193,113.558,6626.0,113.558,5191.0
70.586,0.0,70.586,52428.0,70.586,11.0,70.586,21.0,114.409,-2.146109,114.059,6402.0,114.059,5449.0
