fecha utc,t_x,x,t_y,y,t_lat,lat,t_lon,lon,t_utm_zone,utm_zone,t_u,u_raw,t_v,v_raw,t_du,du_raw,t_dv,dv_raw,t_orientacion,orientacion_raw,t_theta,theta,t_T_L,throttle_L,t_T_R,throttle_R,t_Ah,Ah,t_static_control,static_control,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
2014-05-24 23:59:41,3.461,0.0,3.461,0.0,3.46,39.7947345,3.46,-4.0836998,3.224,30.0,3.461,0.0,3.461,0.0,3.461,0.011719199999999999,3.461,0.0332044,3.144,1.570796,3.461,0.0,3.063,0.0,3.063,0.0,4.267,0.0,3.745,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,3.461,0.0,3.461,-0.0195315,3.585,39.7947346,3.585,-4.0836998,3.465,30.0,3.461,0.0,3.461,0.0,3.461,0.011719199999999999,3.461,0.0332044,3.144,1.570796,3.461,0.0,3.545,0.0,3.545,0.0,4.267,0.0,3.745,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,3.665,-0.0078126,3.665,-0.0195315,3.946,39.7947346,3.946,-4.0836999,3.705,30.0,3.665,0.0,3.665,0.0,3.665,-0.029298,3.665,0.0224618,3.665,1.570796,3.665,0.0,3.545,0.0,3.545,0.0,4.267,0.0,3.745,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,4.027,-0.0078126,4.027,-0.0195315,4.308,39.7947345,4.308,-4.0836999,4.227,30.0,4.027,0.0,4.027,0.0,4.027,-0.04883,4.027,0.0371108,4.147,1.570796,4.027,0.0,4.067,0.0,4.067,0.0,4.267,0.0,3.745,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,4.388,-0.0078126,4.388,-0.0195315,4.669,39.7947346,4.669,-4.0836998,4.468,30.0,4.388,0.0,4.388,0.0,4.388,0.0185554,4.388,-0.0859408,4.668,1.570942,4.388,0.0,4.549,4212.0,4.549,-4213.0,4.267,0.0,3.745,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,4.709,-0.0078126,4.709,-0.0078126,4.99,39.7947345,4.99,-4.0836998,4.99,30.0,4.709,0.0,4.709,0.0,4.709,0.058596,4.709,0.0507832,4.668,1.570942,4.709,0.0,4.549,4212.0,4.549,-4213.0,4.267,0.0,4.749,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,5.071,-0.0078126,5.071,-0.0078126,5.351,39.7947346,5.351,-4.0836996999999995,5.231,30.0,5.071,0.0,5.071,0.0,5.071,0.1377006,5.071,-0.0312512,5.151,1.572965,5.071,0.0,5.07,4187.0,5.07,-4230.0,4.267,0.0,4.749,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,5.432,-0.0078126,5.432,0.0,5.712,39.7947345,5.712,-4.0836996999999995,5.472,30.0,5.432,0.0,5.432,0.0,5.432,-0.0429704,5.432,-0.0556662,5.632,1.576611,5.432,0.0,5.553,4164.0,5.553,-4234.0,4.267,0.0,4.749,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,5.753,-0.0078126,5.753,0.0,6.034,39.7947346,6.034,-4.0836996,5.953,30.0,5.753,0.0,5.753,0.0,5.753,0.0156256,5.753,0.0029297999999999998,5.632,1.576611,5.753,0.0,6.034,4145.0,6.034,-4229.0,4.267,0.0,5.753,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,6.114,-0.0078126,6.114,0.0,6.395,39.7947345,6.395,-4.0836995,6.234,30.0,6.114,0.0,6.114,0.0099598,6.114,-0.0722684,6.114,-0.1103558,6.154,1.581231,6.114,0.0,6.034,4145.0,6.034,-4229.0,4.267,0.0,5.753,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,6.476,0.0,6.476,0.0195315,6.756,39.7947345,6.756,-4.0836993999999995,6.716,30.0,6.476,0.0,6.476,0.0099598,6.476,0.0068362,6.476,-0.0449236,6.636,1.586427,6.476,0.0,6.556,4127.0,6.556,-4219.0,4.267,0.0,6.756,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,6.836,-0.0078126,6.836,0.027344099999999996,7.117,39.7947346,7.117,-4.0836993,6.957,30.0,6.836,0.0,6.836,0.0099598,6.836,0.0253916,6.836,-0.112309,6.636,1.586427,6.836,0.0,7.037,4110.0,7.037,-4206.0,4.267,0.0,6.756,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,7.157,-0.0078126,7.157,0.039063,7.439,39.7947345,7.439,-4.0836992,7.238,30.0,7.157,0.0,7.157,0.0099598,7.157,0.0185554,7.157,-0.0078128,7.157,1.591959,7.157,0.0,7.037,4110.0,7.037,-4206.0,4.267,0.0,6.756,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,7.519,-0.0078126,7.519,0.046875599999999996,7.8,39.7947345,7.8,-4.0836991,7.719,30.0,7.519,0.0,7.519,0.0099598,7.519,0.0078128,7.519,0.07519819999999999,7.639,1.597679,7.519,0.0,7.559,4093.0,7.559,-4191.0,4.267,0.0,7.759,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,7.88,-0.0078126,7.88,0.046875599999999996,8.161,39.7947345,8.161,-4.083699,7.96,30.0,7.88,0.0,7.88,0.0099598,7.88,0.0019532,7.88,-0.0693386,8.161,1.603498,7.88,0.0,8.041,4076.0,8.041,-4174.0,4.267,0.0,7.759,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,8.201,-0.0078126,8.201,0.0664071,8.483,39.7947346,8.483,-4.0836989,8.482,30.0,8.201,0.0,8.201,0.0099598,8.201,-0.0400406,8.201,-0.0898472,8.161,1.603498,8.201,0.0,8.041,4076.0,8.041,-4174.0,4.267,0.0,7.759,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,8.563,-0.0078126,8.563,0.0664071,8.844,39.7947345,8.844,-4.0836988,8.723,30.0,8.563,0.0,8.563,0.0099598,8.563,0.0058595999999999995,8.563,-0.059572599999999996,8.643,1.609362,8.563,0.0,8.563,4060.0,8.563,-4158.0,8.763,0.0,8.764,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,8.924,-0.0078126,8.924,0.078126,9.205,39.7947345,9.205,-4.0836988,9.205,30.0,8.924,0.0,8.924,0.0099598,8.924,0.0058595999999999995,8.924,-0.0644556,9.164,1.615237,8.924,0.0,9.044,4043.0,9.044,-4141.0,8.763,0.0,8.764,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,9.285,-0.0078126,9.285,0.08984489999999999,9.567,39.7947345,9.567,-4.0836986,9.486,30.0,9.285,0.0,9.285,0.0099598,9.285,-0.0410172,9.285,-0.0888706,9.164,1.615237,9.285,0.0,9.566,4026.0,9.566,-4123.0,8.763,0.0,8.764,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,9.606,-0.0078126,9.606,0.0976575,9.888,39.7947346,9.888,-4.0836985,9.727,30.0,9.606,0.0,9.606,0.0099598,9.606,0.0361342,9.606,0.0380874,9.646,1.621104,9.606,0.0,9.566,4026.0,9.566,-4123.0,8.763,0.0,9.767,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,9.968,-0.0078126,9.968,0.0976575,10.25,39.7947345,10.25,-4.083698399999999,10.209,30.0,9.968,0.0,9.968,0.0099598,9.968,0.014649,9.968,-0.0214852,10.169,1.626949,9.968,0.0,10.048,4009.0,10.048,-4106.0,8.763,0.0,9.767,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,10.329,-0.0078126,10.329,0.10937639999999998,10.611,39.7947345,10.611,-4.0836983,10.49,30.0,10.329,0.0,10.329,0.0099598,10.329,0.0605492,10.329,0.0136724,10.169,1.626949,10.329,0.0,10.531,3992.0,10.531,-4088.0,8.763,0.0,9.767,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,10.651,-0.0078126,10.651,0.11718899999999999,10.932,39.7947345,10.932,-4.0836982,10.731,30.0,10.651,0.0,10.651,0.0099598,10.651,0.0849642,10.651,-0.039064,10.651,1.632767,10.651,0.0,10.531,3992.0,10.531,-4088.0,8.763,0.0,10.732,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,11.012,-0.0078126,11.012,0.1289079,11.293,39.7947345,11.293,-4.083698099999999,11.212,30.0,11.012,0.0,11.012,0.0099598,11.012,0.0107426,11.012,-0.0351576,11.132,1.638551,11.012,0.0,11.052,3975.0,11.052,-4071.0,8.763,0.0,10.732,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,11.373,-0.0078126,11.373,0.1367205,11.654,39.7947345,11.654,-4.083698,11.453,30.0,11.373,0.0,11.373,0.0099598,11.373,-0.0175788,11.373,0.0224618,11.654,1.6443,11.373,0.0,11.534,3958.0,11.534,-4053.0,8.763,0.0,10.732,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,11.735,-0.0195315,11.735,0.1484394,12.015,39.7947345,12.015,-4.083698,11.975,30.0,11.735,0.0,11.735,0.0099598,11.735,0.0712918,11.735,0.0947302,11.654,1.6443,11.735,0.0,11.534,3958.0,11.534,-4053.0,8.763,0.0,11.735,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,12.056,-0.0195315,12.056,0.156252,12.337,39.7947345,12.337,-4.0836977999999995,12.216,30.0,12.056,0.0,12.056,0.0099598,12.056,-0.0273448,12.056,-0.0810578,12.136,1.650013,12.056,0.0,12.056,3941.0,12.056,-4035.0,8.763,0.0,11.735,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,12.417,-0.0195315,12.417,0.16797089999999998,12.698,39.7947345,12.698,-4.0836977999999995,12.457,30.0,12.417,0.0,12.417,0.0099598,12.417,-0.0068362,12.417,0.0644556,12.658,1.655687,12.417,0.0,12.538,3924.0,12.538,-4017.0,8.763,0.0,11.735,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,12.778,-0.0195315,12.778,0.16797089999999998,13.06,39.7947345,13.06,-4.0836977,12.979,30.0,12.778,0.0,12.778,0.0099598,12.778,0.0253916,12.778,-0.0459002,12.658,1.655687,12.778,0.0,13.059,3907.0,13.059,-4000.0,8.763,0.0,12.738,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,13.139,-0.0195315,13.139,0.17968979999999998,13.38,39.7947345,13.38,-4.0836976,13.22,30.0,13.139,0.0,13.139,0.0099598,13.139,-0.0371108,13.139,-0.0058595999999999995,13.14,1.661323,13.139,0.0,13.059,3907.0,13.059,-4000.0,13.26,0.0,12.738,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,13.461,-0.0195315,13.461,0.18750239999999999,13.742,39.7947345,13.742,-4.0836974999999995,13.702,30.0,13.461,0.0,13.461,0.0099598,13.461,0.0576194,13.461,-0.009766,13.661,1.66692,13.461,0.0,13.541,3890.0,13.541,-3982.0,13.26,0.0,13.742,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,13.822,-0.0195315,13.822,0.1992213,14.103,39.7947345,14.103,-4.0836974,13.983,30.0,13.822,0.0,13.822,0.0099598,13.822,0.0019532,13.822,-0.0429704,13.661,1.66692,13.822,0.0,14.063,3873.0,14.063,-3964.0,13.26,0.0,13.742,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,14.183,-0.0195315,14.183,0.1992213,14.465,39.7947345,14.465,-4.0836973,14.465,30.0,14.183,0.0,14.183,0.0099598,14.183,-0.009766,14.183,-0.023438399999999998,14.143,1.672479,14.183,0.0,14.063,3873.0,14.063,-3964.0,13.26,0.0,13.742,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,14.507,-0.0195315,14.507,0.2070339,14.786,39.7947345,14.786,-4.0836972,14.706,30.0,14.507,0.0,14.507,0.0099598,14.507,0.0361342,14.507,-0.0302746,14.665,1.677999,14.507,0.0,14.545,3856.0,14.545,-3946.0,13.26,0.0,14.746,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,14.866,-0.0195315,14.866,0.23828429999999998,15.148,39.794734399999996,15.148,-4.0836968,14.987,30.0,14.866,0.0,14.866,0.0398449,14.866,0.0136724,14.866,-0.063479,15.147,1.684088,14.866,-4.397998224292252,15.067,7022.0,15.067,-747.0,13.26,0.0,14.746,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,15.228,-0.0195315,15.228,0.3085977,15.509,39.794734399999996,15.509,-4.0836963,15.47,30.0,15.228,-0.0099598,15.228,0.1294983,15.228,0.0351576,15.228,0.0478534,15.147,1.684088,15.228,-5.710214431524424,15.067,7022.0,15.067,-747.0,13.26,0.0,14.746,0.0,Null,Null,Null,Null,Null,Null,Null
2014-05-24 23:59:41,15.589,-0.027344099999999996,15.589,0.37891109999999995,15.83,39.794734299999995,15.83,-4.0836952,15.71,30.0,15.589,-0.0199215,15.589,0.1992283,15.589,0.0410172,15.589,0.0273448,15.669,1.691561,15.589,-6.842549328900164,15.55,7210.0,15.55,-515.0,13.26,0.0,15.75,0.0,Null,Null,Null,Null,Null,Null,Null
