fecha utc,t_x,x,t_y,y,t_lat,lat,t_lon,lon,t_utm_zone,utm_zone,t_u,u_raw,t_v,v_raw,t_du,du_raw,t_dv,dv_raw,t_orientacion,orientacion_raw,t_theta,theta,t_T_L,throttle_L,t_T_R,throttle_R,t_Ah,Ah,t_static_control,static_control,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
2025-07-16 07:18:45.500000,6.825,-0.7695411,6.825,0.7773536999999999,6.824,40.436767599999996,6.824,-3.7313104,6.477,30.0,6.825,0.0498066,6.825,0.0597683,6.825,-0.0302746,6.825,-0.11914519999999999,6.902,-9.8e-05,6.825,39.80539193770091,6.823,-62.0,6.823,62.0,9.851,0.001832,6.824,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:45.750000,6.825,-0.7695411,6.825,0.8086040999999999,6.886,40.436767599999996,6.886,-3.7313096999999997,6.825,30.0,6.825,0.0498066,6.825,0.0597683,6.825,-0.0302746,6.825,-0.11914519999999999,6.902,-9.8e-05,6.825,-33.6896472008493,6.823,-62.0,6.823,62.0,9.851,0.001832,6.824,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:46,7.241,-0.7890725999999999,7.241,0.8281356,7.241,40.4367674,7.241,-3.7313094999999996,6.979,30.0,7.241,-0.0298832,7.241,-0.0199215,7.241,-0.024415,7.241,-0.0615258,6.902,-9.8e-05,7.241,-123.68922684488243,7.034,-62.0,7.034,62.0,9.851,0.001832,6.824,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:46.500000,7.534,-0.7968852,7.534,0.8281356,7.579,40.4367674,7.579,-3.7313091,7.475,30.0,7.534,0.0099598,7.534,0.0498066,7.534,-0.0957068,7.534,-0.1259814,7.396,-0.000227,7.534,11.30825116116451,7.533,-62.0,7.533,62.0,9.851,0.001832,7.578,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:46.750000,7.831,-0.7890725999999999,7.831,0.859386,7.925,40.436767499999995,7.925,-3.7313085999999998,7.721,30.0,7.831,0.0597683,7.831,0.1494217,7.831,-0.0722684,7.831,-0.2216882,7.893,0.000128,7.831,21.801283873247815,7.533,-62.0,7.533,62.0,9.851,0.001832,7.578,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:47.250000,8.139,-0.7773536999999999,8.139,0.9882939,8.261,40.436767499999995,8.261,-3.7313075999999996,8.228,30.0,8.139,-0.06973,8.139,0.0996132,8.139,-0.09375359999999999,8.139,-0.1357474,7.893,0.000128,8.139,-34.99231357923667,8.02,-62.0,8.02,62.0,9.851,0.001832,7.578,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:47.500000,8.42,-0.7695411,8.42,0.9882939,8.635,40.4367679,8.635,-3.7313071,8.468,30.0,8.42,0.2689583,8.42,0.0796917,8.42,-0.029298,8.42,-0.0673854,8.388,9.3e-05,8.42,73.49556971309083,8.516,-62.0,8.516,62.0,9.851,0.001832,8.565,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:48,8.729,-0.7382907,8.729,1.0273569,8.974,40.4367678,8.974,-3.7313064,8.974,30.0,8.729,-0.06973,8.729,0.0298832,8.729,-0.1543028,8.729,-0.087894,8.898,-2.8e-05,8.729,-66.8021631699328,8.516,-62.0,8.516,62.0,9.851,0.001832,8.565,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:48.250000,9.03,-0.7500095999999999,9.03,1.0898576999999998,9.325,40.436768,9.325,-3.7313053999999997,9.218,30.0,9.03,-0.0498066,9.03,0.1992283,9.03,-0.019532,9.03,0.0410172,8.898,-2.8e-05,9.03,-14.036114898851947,9.028,-62.0,9.028,62.0,9.851,0.001832,8.565,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:48.500000,9.646,-0.6992276999999999,9.646,1.1797026,9.659,40.436768199999996,9.659,-3.7313050999999997,9.467,30.0,9.646,0.0298832,9.646,0.0896515,9.646,0.0693386,9.646,0.9355828,9.387,-0.000156,9.646,48.814171545168534,9.514,-62.0,9.514,62.0,9.851,0.001832,9.546,0.0,Null,Null,Null,Null,Null,Null,Null
2025-07-16 07:18:49,9.915,-0.7070403,9.915,1.1992341,10.022,40.436768199999996,10.022,-3.7313047999999998,9.962,30.0,9.915,-0.0398449,9.915,-0.0398449,9.915,0.1630922,9.915,0.0459002,9.882,-0.000224,9.915,18.43458453829168,10.021,-62.0,10.021,62.0,9.851,0.001832,9.546,0.0,Null,Null,Null,Null,Null,Null,Null
