fecha utc,t_x,x,t_y,y,t_lat,lat,t_lon,lon,t_utm_zone,utm_zone,t_u,u_raw,t_v,v_raw,t_du,du_raw,t_dv,dv_raw,t_orientacion,orientacion_raw,t_theta,theta,t_T_L,throttle_L,t_T_R,throttle_R,t_Ah,Ah,t_static_control,static_control,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
2025-05-16 09:42:16.750000,3.269,74.6181426,3.269,-81.0205683,3.269,40.3759501,3.269,-3.7048406,2.935,30.0,3.269,0.0298832,3.269,-0.0498066,3.269,-0.0205086,3.269,0.039064,4.307,-2.320978,3.269,149.03688632339689,3.267,60.0,3.267,30.0,6.237,3.025647,2.933,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:16.750000,3.269,74.6181426,3.269,-81.0400998,4.14,40.375951,4.14,-3.7048408,2.935,30.0,3.269,0.0298832,3.269,-0.0498066,3.269,-0.0205086,3.269,0.039064,4.307,-2.320978,3.269,59.036886323396885,3.267,60.0,3.267,30.0,6.237,3.025647,2.933,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:18.250000,4.228,74.70798749999999,4.228,-81.0400998,4.481,40.375951199999996,4.481,-3.7048408,4.352,30.0,4.228,0.0498066,4.228,0.0298832,4.228,-0.0136724,4.228,0.0039064,4.307,-2.320978,4.228,51.34045829493674,4.428,45.0,4.428,45.0,6.237,3.025647,2.933,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:18.500000,4.522,74.73923789999999,4.522,-81.02838089999999,4.873,40.3759514,4.873,-3.7048406999999997,4.602,30.0,4.522,0.0498066,4.522,0.0398449,4.522,0.0175788,4.522,0.0156256,4.779,-2.317786,4.522,97.12383945062389,4.428,45.0,4.428,45.0,6.237,3.025647,2.933,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:18.750000,5.093,74.7900198,5.093,-81.04791239999999,5.168,40.3759519,5.168,-3.704841,5.131,30.0,5.093,0.06973,5.093,-0.0199215,5.093,-0.0078128,5.093,0.0332044,4.779,-2.317786,5.093,105.94436491917767,4.95,60.0,4.95,30.0,6.237,3.025647,4.877,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:19.250000,5.454,74.8408017,5.454,-81.05963129999999,5.522,40.3759521,5.522,-3.704841,5.366,30.0,5.454,0.0398449,5.454,-0.0099598,5.454,0.0214852,5.454,-0.0019532,5.31,-2.313372,5.454,104.03431487987726,5.453,60.0,5.453,30.0,6.237,3.025647,4.877,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:19.500000,5.717,74.8486143,5.717,-81.0674439,5.921,40.3759525,5.921,-3.7048414,5.664,30.0,5.717,0.0398449,5.717,-0.0597683,5.717,-0.0253916,5.717,-0.011719199999999999,5.788,-2.308904,5.717,146.3103527991507,5.453,60.0,5.453,30.0,6.237,3.025647,5.834,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:19.750000,6.017,74.8798647,6.017,-81.0908817,6.221,40.3759527,6.221,-3.7048414999999997,6.097,30.0,6.017,0.0796917,6.017,-0.0498066,6.017,-0.0039064,6.017,0.0185554,5.788,-2.308904,6.017,122.00501483649899,5.924,60.0,5.924,30.0,6.237,3.025647,5.834,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:20.250000,6.342,74.8993962,6.342,-81.09869429999999,6.57,40.3759528,6.57,-3.7048416,6.362,30.0,6.342,0.0398449,6.342,-0.0298832,6.342,-0.0126958,6.342,0.0009766,6.341,-2.301995,6.342,126.86946050039654,6.452,45.0,6.452,45.0,6.237,3.025647,5.834,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:20.750000,6.586,74.9384592,6.586,-81.1104132,6.973,40.3759533,6.973,-3.7048417,6.868,30.0,6.586,0.0498066,6.586,0.0099598,6.586,-0.0185554,6.586,0.0039064,6.78,-2.295504,6.586,78.6917488388355,6.972,45.0,6.972,45.0,6.237,3.025647,6.866,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:20.750000,7.213,74.9892411,7.213,-81.11822579999999,7.317,40.3759535,7.317,-3.7048417999999996,7.111,30.0,7.213,0.0498066,7.213,-0.06973,7.213,-0.0507832,7.213,0.04883,6.78,-2.295504,7.213,99.46084539087832,6.972,45.0,6.972,45.0,6.237,3.025647,6.866,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:21.250000,7.518,75.02049149999999,7.518,-81.1299447,7.627,40.3759539,7.627,-3.7048419999999997,7.371,30.0,7.518,0.0597683,7.518,-0.0199215,7.518,-0.0068362,7.518,-0.0253916,7.322,-2.287361,7.518,144.46261756993255,7.419,30.0,7.419,30.0,6.237,3.025647,6.866,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:21.750000,7.81,75.04002299999999,7.81,-81.1299447,7.987,40.3759541,7.987,-3.7048421,7.877,30.0,7.81,0.0,7.81,-0.0398449,7.81,0.0253916,7.81,-0.0058595999999999995,7.769,-2.280074,7.81,108.43385597597943,7.924,45.0,7.924,15.0,6.237,3.025647,7.876,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:21.750000,8.12,75.05955449999999,8.12,-81.13775729999999,8.317,40.3759543,8.317,-3.7048422999999997,8.123,30.0,8.12,0.0896515,8.12,-0.0597683,8.12,-0.0175788,8.12,0.0019532,8.286,-2.270034,8.12,180.0,7.924,45.0,7.924,15.0,6.237,3.025647,7.876,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:22.500000,8.446,75.1103364,8.446,-81.1494762,8.662,40.375954799999995,8.662,-3.7048422999999997,8.61,30.0,8.446,0.0796917,8.446,0.0398449,8.446,0.0009766,8.446,-0.0126958,8.286,-2.270034,8.446,123.6903477434187,8.445,60.0,8.445,30.0,6.237,3.025647,7.876,0.0,Null,Null,Null,Null,Null,Null,Null
2025-05-16 09:42:22.750000,8.678,75.13768049999999,8.678,-81.1690077,9.031,40.375955,9.031,-3.7048422,8.864,30.0,8.678,0.0796917,8.678,-0.0099598,8.678,-0.0312512,8.678,0.0498066,8.765,-2.257628,8.678,63.43549524118223,8.911,45.0,8.911,15.0,6.237,3.025647,8.861,0.0,Null,Null,Null,Null,Null,Null,Null
