Tiempo,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
,-702.331,236.827,664.796,935.539,792.293,458.502,242.001
,-710.259,236.925,656.576,935.274,nan,nan,195.625
,-708.277,236.966,6.5676,936.431,7.9284,481.284,221.998
,-709.268,237.098,656.966,938.548,794.437,426.568,28.709
,-704.313,237.031,656.474,936.096,7.9246,528.688,271.121
,-707.286,237.022,656.144,934.875,7.9144,322.447,172.349
,-708.277,237.124,656.836,934.135,790.662,439.714,158.624
,nan,nan,656.454,941.436,796.925,359.025,273.584
,-700.349,237.056,657.152,935.771,792.148,407.674,356.482
,-705.304,237.038,656.271,932.286,789.226,636.781,230.576
,-706.295,237.078,657.308,933.751,7.9047,402.325,219.331
,-710.259,237.061,656.923,935.797,793.993,424.494,177.022
,-704.313,237.143,656.896,935.106,791.457,489.847,253.347
,-708.277,237.171,656.747,938.855,794.588,5.0739,218.378
,-708.277,237.165,656.777,93.43,790.742,507.089,23.574
,-706.295,237.109,656.741,934.992,7.9141,430.145,285.003
,-710.259,237.254,6.5681,937.272,793.124,415.041,223.573
,-706.295,237.146,656.746,940.889,796.347,472.891,276.654
,-708.277,237.315,6.5672,93.358,7.8991,4.6647,nan
,-704.313,237.208,6.5674,936.424,792.475,440.161,252.987
,-704.313,237.282,656.725,934.554,790.783,464.046,187.676
,-705.304,237.261,6.5672,935.537,791.647,474.153,192.649
,-710.259,237.279,656.713,93.675,792.646,506.771,219.447
,-706.295,237.294,656.721,94.002,7.9539,477.617,275.437
,-707.286,23.722,nan,935.332,791.533,397.224,228.527
,-705.304,237.196,656.684,93.753,7.9343,492.492,281.942
,-712.241,23.722,656.701,937.817,793.635,472.801,173.117
,-709.268,237.316,656.714,933.035,789.447,485.589,254.484
,-708.277,237.352,656.701,932.559,788.991,358.186,262.625
,-709.268,237.323,656.721,93.318,7.8956,367.961,273.793
,-71.125,23.745,6.5667,934.252,790.279,536.043,190.548
,-708.277,23.748,656.695,932.764,788.974,528.317,238.505
,-707.286,237.419,656.701,932.326,788.695,368.204,181.912
,-708.277,237.372,656.637,937.709,793.318,485.037,276.146
,-702.331,237.462,656.485,939.146,794.401,482.887,284.784
,-706.295,237.607,6.5665,932.267,788.367,4.417,232.765
,-708.277,237.398,657.022,nan,791.229,422.965,266.482
,-704.313,237.428,656.837,933.477,789.656,522.842,257.974
,-708.277,237.488,656.802,935.159,790.989,502.258,33.881
,-706.295,237.431,6.5673,937.613,7.9315,3.0965,234.417
,-702.331,237.536,655.636,933.403,789.433,5.3275,291.061
,-700.349,237.408,653.488,936.551,792.286,707.988,195.805
,-702.331,237.502,656.321,934.623,790.515,508.948,313.165
,-70.134,237.443,6.5646,933.567,789.709,558.218,324.462
,-707.286,237.482,656.565,938.934,794.192,433.715,23.064
,-702.331,237.657,6.5664,935.964,7.9142,514.016,261.939
,nan,237.487,6.5925,932.246,788.527,4.8848,265.285
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan
,nan,0,0,0,0,0,0
,-694.403,337.557,662.454,967.078,686.265,0,nan
,-692.421,249.798,657.077,967.558,7.9988,2.6374,206.701
,-69.143,24.97,6.57,97.033,802.316,357.414,326.087
,-694.403,249.636,656.806,971.252,803.173,276.522,234.233
,-693.412,249.745,656.772,97.224,803.828,349.763,284.186
,-698.367,249.711,656.695,965.046,797.931,133.071,270.987
,-695.394,249.695,656.873,963.772,7.969,315.884,215.458
,-700.349,249.674,656.618,966.339,799.055,350.873,205.678
,-704.313,249.779,656.386,965.458,798.172,328.376,311.468
,-69.143,249.816,656.469,970.156,802.001,452.704,298.329
,-69.143,24.977,656.619,966.508,799.053,297.823,244.849
,-695.394,249.745,656.591,963.658,796.733,314.592,178.597
,-69.143,249.726,656.574,968.628,8.1987,3.3529,256.936
,-694.403,249.661,656.568,960.269,794.054,543.347,245.894
,-686.476,249.658,6.57,962.821,796.169,369.678,302.383
,-686.476,249.661,650.592,968.888,801.181,331.422,211.081
,-688.457,249.618,656.413,961.134,794.833,359.899,244.111
,nan,244.915,671.606,965.226,805.189,6.5042,866.309
,-637.918,244.831,671.333,96.77,807.378,5.0372,961.387
,-640.891,244.981,672.013,969.711,8.0883,591.864,923.707
,-646.836,244.933,671.588,965.918,805.738,609.175,112.071
,-646.836,244.964,671.689,967.832,807.288,608.649,163.952
,-636.927,244.858,6.7149,969.161,808.557,722.501,186.385
,-636.927,245.083,672.776,965.426,805.103,730.773,196.391
,-632.963,245.035,670.471,967.646,807.027,7.9493,186.987
,-643.863,245.035,671.298,96.53,8.0507,813.704,184.853
,-634.945,245.164,6.7099,96.836,8.0743,822.996,181.391
,-642.873,245.054,669.205,963.971,803.934,496.148,193.195
,-635.936,245.201,672.946,967.678,806.805,754.433,110.983
